"Name","Link","Floor","7D Sales","Vol.","NA","XP Rank"
"Genesis Box","https://opensea.io/collection/genesis-box","0.0387 ETH","132","5.07 ETH",NA,212
"My Curio Cards","https://opensea.io/collection/curiocardswrapper","0.085 ETH","34","4.90 ETH",NA,213
"Habbo: Crafted Avatars","https://opensea.io/collection/crafted-avatars","0.2719 ETH","13","4.86 ETH",NA,214
"beef brothko","https://opensea.io/collection/beef-brothko","1.0999 ETH","9","5.15 ETH",NA,215
"Checks - VV Edition","https://opensea.io/collection/vv-checks","0.30 ETH","16","4.76 ETH",NA,216
"Synthetic Dreams by Refik Anadol","https://opensea.io/collection/synthetic-dreams","1.29 ETH","3","4.81 ETH",NA,217
"CNP / CryptoNinja Partners","https://opensea.io/collection/cryptoninjapartners-v2","0.055 ETH","19","4.76 ETH",NA,218
"AN IMPORTANT MEMORY FOR HUMANITY BY REFIK ANADOL","https://opensea.io/collection/inspirati4n","0.0712 ETH","8","4.56 ETH",NA,219
"CALIVERSE Pioneer","https://opensea.io/collection/caliverse-pioneer","0.0764 ETH","65","4.69 ETH",NA,220
"Latent Ink by Eko33","https://opensea.io/collection/latent-ink-by-eko33","0.505 ETH","8","4.78 ETH",NA,221
"Nifty Island: Legendary Palms","https://opensea.io/collection/nifty-island-legendary-palms","0.166 ETH","26","4.68 ETH",NA,222
"Youmio - Ancient Seeds","https://opensea.io/collection/ancientseed","1.35 ETH","3","4.98 ETH",NA,223
"Pixelmon - Generation 1","https://opensea.io/collection/pixelmongen1","0.1944 ETH","18","4.54 ETH",NA,224
"FLUF World","https://opensea.io/collection/fluf","0.21 ETH","21","4.52 ETH",NA,225
"Awakenings","https://opensea.io/collection/awakenings-2","2.92 AVAX","104","494.06 AVAX",NA,226
"Meridian by Matt DesLauriers","https://opensea.io/collection/meridian-by-matt-deslauriers","3.15 ETH","2","5.21 ETH",NA,227
"Bera Cults","https://opensea.io/collection/bera-cults-3","2.01 BERA","832","1,915.10 BERA",NA,228
"Apu Apustajas","https://opensea.io/collection/apuapustajas","0.0519 ETH","83","4.40 ETH",NA,229
"Wilder Land: The Island","https://opensea.io/collection/wilder-land-the-island","0.5799 ETH","10","4.55 ETH",NA,230
"RENGA","https://opensea.io/collection/renga","0.083 ETH","37","4.35 ETH",NA,231
